Display_Review_Title,Display_Review,Display_Reviewer_Name,Display_Reviewer_Location,Display_Review_Date,Display_Review_Likes,Display_Review_Dislikes,Sentiment_Text,Sentiment,Sentiment_Score
terrific purchase,value for money bought it for 24970 inr from big billion days and which i feel is great value for money also this is my secondary phone i just wanted iphone because i have an ipad and macbook pro and was planning to buy an apple watch hence necessity was to have atleast an entry level iphone but after using this for a few days i feel like i might buy a bigger size phone after a year from apple if you are buying it for more than 26 or 27k then you are wasting your money i use samsung read more,flipkart customer,bengaluru,202010,0.0,0.0,terrific purchase. value for money bought it for 24970 inr from big billion days and which i feel is great value for money also this is my secondary phone i just wanted iphone because i have an ipad and macbook pro and was planning to buy an apple watch hence necessity was to have atleast an entry level iphone but after using this for a few days i feel like i might buy a bigger size phone after a year from apple if you are buying it for more than 26 or 27k then you are wasting your money i use samsung read more,Positive,0.7439641952514648
must buy,superb device one con is it s display is small and lcd otherwise everything is superb,shekhar badoni,new delhi,202201,0.0,0.0,must buy. superb device one con is it s display is small and lcd otherwise everything is superb,Positive,0.5090246796607971
classy product,it s been almost a week since i ve started using the phone and it s pretty impressive for the specs it gets i upgraded from the 6 which happens to have the same battery as this one but the phone has been lasting a complete day easily and definitely way more than my 6 did when i bought it coming to the highly complained 1821 mah battery i charge it in the morning around 9 and it has 20 left before i go to bed then again it ll vary from user to user the ios experience along with the a13 read more,anubhav dasgupta,bidhan nagar,202012,1.0,0.0,classy product. it s been almost a week since i ve started using the phone and it s pretty impressive for the specs it gets i upgraded from the 6 which happens to have the same battery as this one but the phone has been lasting a complete day easily and definitely way more than my 6 did when i bought it coming to the highly complained 1821 mah battery i charge it in the morning around 9 and it has 20 left before i go to bed then again it ll vary from user to user the ios experience along with the a13 read more,Positive,0.5280035138130188
brilliant,display smoothness and many things are 100 times better than android,flipkart customer,bhopal,202006,3.0,1.0,brilliant. display smoothness and many things are 100 times better than android,Positive,0.9558387398719788
great product,display smooth display,vajjala kalyan kumar,visakhapatnam,202102,0.0,0.0,great product. display smooth display,Positive,0.7844811677932739
very good,smooth display,sachin dev,chunar,202009,0.0,0.0,very good. smooth display,Positive,0.5751703977584839
,its a small display and apples best display media experience is excellent even small display,miruthik raj,karamadai,202009,,,. its a small display and apples best display media experience is excellent even small display,Positive,0.7321728467941284
nice product,great camera good battery backup for normal to moderate non gamers high built in quality loved the screen resolution screen could have been utilized more fully by providing touch home button instead of flip button in the bottom speaker at top which s occupied screen 20 of screen length,prasanna customer,kakinada,202102,1.0,0.0,nice product. great camera good battery backup for normal to moderate non gamers high built in quality loved the screen resolution screen could have been utilized more fully by providing touch home button instead of flip button in the bottom speaker at top which s occupied screen 20 of screen length,Positive,0.7020055055618286
pretty good,however with time i got used to the display and it feels just like any standard display the display panel is 750p which would look blurry if the screen of this phone was bigger as it has a smaller screen the pixels are packed close to each other which results in a sharp looking display,flipkart customer,hyderabad,202110,89.0,13.0,pretty good. however with time i got used to the display and it feels just like any standard display the display panel is 750p which would look blurry if the screen of this phone was bigger as it has a smaller screen the pixels are packed close to each other which results in a sharp looking display,Neutral,0.5177942514419556
just okay,the phone is great and has snappy performance ofcourse ios in itself is one of the most refined os in the world android has too much fragmentation app developers cant keep up also android auto is super laggy too apple carplay works like a charm in my car for anyone wanting to try an iphone this is a great entry level phone yes there are downsides to this phone namely screen and battery i also own a samsung note 8 so the difference in screen resolution is evident note 8 has a super read more,abhishek srivastava,nagpur,202006,3.0,1.0,just okay. the phone is great and has snappy performance ofcourse ios in itself is one of the most refined os in the world android has too much fragmentation app developers cant keep up also android auto is super laggy too apple carplay works like a charm in my car for anyone wanting to try an iphone this is a great entry level phone yes there are downsides to this phone namely screen and battery i also own a samsung note 8 so the difference in screen resolution is evident note 8 has a super read more,Neutral,0.8290808796882629
best in the market,best handset under 5 inch display,anand shankar mishra,kanti,202005,1.0,0.0,best in the market. best handset under 5 inch display,Positive,0.8864772319793701
wonderful,people think it s just a 60hz screen with lcd display but it s not so,aathan aravazhi,chennai,202011,0.0,0.0,wonderful. people think it s just a 60hz screen with lcd display but it s not so,Positive,0.44946691393852234
pretty good,display average,bhoopendra pratap singh,aminagar sarai,202011,40.0,1.0,pretty good. display average,Neutral,0.48118165135383606
super,this is my first iphone and i am very excited fr this camera camera is super like iphone 11 and his only 12mp camera is beaten all the android phone camera ex 64mp and 48 mp battery battery is quite very good which i imagine his iphone 2020 is enough for you daily work performance bro lettery i have no work for his performance beacuse in this iphone the company is use the world fastest processor a13 bionic cip which is on 5nm technology and with this chipset we ca read more,flipkart customer,lakhimpur,202010,0.0,0.0,super. this is my first iphone and i am very excited fr this camera camera is super like iphone 11 and his only 12mp camera is beaten all the android phone camera ex 64mp and 48 mp battery battery is quite very good which i imagine his iphone 2020 is enough for you daily work performance bro lettery i have no work for his performance beacuse in this iphone the company is use the world fastest processor a13 bionic cip which is on 5nm technology and with this chipset we ca read more,Positive,0.6677374243736267
value for money,display could ve been bit better,sourabh jadhav,sangli miraj kupwad,202012,0.0,0.0,value for money. display could ve been bit better,Neutral,0.43141481280326843
super,average display,anakha sajeev,thanneermukkam,202010,2.0,1.0,super. average display,Positive,0.5498661398887634
,my first ever apple product it s small snappy has touch id apple pioneered in it i am astonished as to how such a small phone can outstand every other phone reasons to buy 1 camera don t get fooled coz of one lens 2 performance a13 bionic chip 3 screen small and reachable by single hand 4 power packed features 4k 60fps water resistant a13 chip more secure touch id wireless charging quick charging 5 price cons 1 outdated look 2 battery is very small although it la read more,suryakiran s,bengaluru,202006,,,. my first ever apple product it s small snappy has touch id apple pioneered in it i am astonished as to how such a small phone can outstand every other phone reasons to buy 1 camera don t get fooled coz of one lens 2 performance a13 bionic chip 3 screen small and reachable by single hand 4 power packed features 4k 60fps water resistant a13 chip more secure touch id wireless charging quick charging 5 price cons 1 outdated look 2 battery is very small although it la read more,Positive,0.3536227345466614
terrific purchase,display it s not a problem for me as i seriously prefer this dispaly of iphone notches on high level phones,manoj kumar dash,berhampur,202102,4.0,0.0,terrific purchase. display it s not a problem for me as i seriously prefer this dispaly of iphone notches on high level phones,Positive,0.7473546266555786
nice product,display display is not amoled but you can never say that the display is poor i even find it better than some of the amoled displays on mid range redmi and realme phones,ashish gupta,allahabad,202010,0.0,0.0,nice product. display display is not amoled but you can never say that the display is poor i even find it better than some of the amoled displays on mid range redmi and realme phones,Positive,0.6517100930213928
decent product,display it s my first iphone,karthi keyan,nandivaram guduvancheri,202203,3.0,0.0,decent product. display it s my first iphone,Positive,0.5351735353469849
utterly disappointed,battery backup is very bad 7 days gone battery life 98 touch issue in small display don t buy guys very bad product,sek sanjeebul,dhenkanal,202201,0.0,0.0,utterly disappointed. battery backup is very bad 7 days gone battery life 98 touch issue in small display don t buy guys very bad product,Negative,0.8435612916946411
fair,pros 1 a 13 bionic chip beast in performance 2 best video camera phone under 50k 3 easy to hold carry and one handed use 4 ram management is excellent 5 rear camera is good 6 output from speekers are too good cons 1 worst battery performance 4 hours hardly on a single charge 2 still you get 5w charger in the box while phone s cost around 42 5k but phone does support 18w fast charging 3 no night mode available 4 design is too old 5 frot camera is not up to the read more,noor adhar,noida,202005,23.0,5.0,fair. pros 1 a 13 bionic chip beast in performance 2 best video camera phone under 50k 3 easy to hold carry and one handed use 4 ram management is excellent 5 rear camera is good 6 output from speekers are too good cons 1 worst battery performance 4 hours hardly on a single charge 2 still you get 5w charger in the box while phone s cost around 42 5k but phone does support 18w fast charging 3 no night mode available 4 design is too old 5 frot camera is not up to the read more,Neutral,0.47506314516067505
really nice,4 display is awesome,arun kumar,bengaluru,202110,0.0,0.0,really nice. 4 display is awesome,Positive,0.7929618954658508
does the job,even if it s a lcd display,anushish hota,umarkote,202110,1.0,0.0,does the job. even if it s a lcd display,Positive,0.6016585230827332
pretty good,display is very great speakers are also very good display is best,anamika jha,new delhi,202010,1.0,0.0,pretty good. display is very great speakers are also very good display is best,Positive,0.5948196053504944
very good,the display is an ips retina display which is not bad,flipkart customer,thiruvananthapuram,202106,1.0,1.0,very good. the display is an ips retina display which is not bad,Positive,0.6075097918510437
,good phone nice display,venkatesh prasad,bengaluru,202008,,,. good phone nice display,Positive,0.5590716004371643
